Text,Aspect
"The new environmental policy is excellent and will help protect our planet.",environmental_protection
"This restaurant has terrible food and slow service.",restaurant
"The laptop performance is amazing and battery life is great.",laptop
"I'm very concerned about climate change and its effects.",environmental_protection
"The ambiance of this restaurant is wonderful and cozy.",restaurant
"This laptop is too expensive for what it offers.",laptop
"We need stronger environmental regulations immediately.",environmental_protection
"The chef at this restaurant is incredibly talented.",restaurant
"The laptop screen quality is disappointing.",laptop
"Renewable energy is the future we need.",environmental_protection
